group name,overallocation,time conflicts,undersupport,unwilling,unpreferred
CCG,1,3,10,0,3
CCG,27,7,2,0,3
CCG,0,1,16,0,0
CCG,2,3,10,0,2
CCG,1,1,13,0,1
CCG,0,3,8,0,8
CCG,0,1,12,0,2
CCG,0,2,9,0,8
CCG,19,3,7,0,6
CCG,25,5,5,0,2
CCG,0,1,15,0,1
CCG,0,0,10,0,9
CCG,27,6,5,0,0
CCG,27,6,3,0,2
CCG,1,4,8,0,6
CCG,25,4,7,0,0
CCG,0,0,13,0,2
CCG,2,3,12,0,0
CCG,21,4,5,0,6
CCG,20,3,6,0,6
CCG,0,1,10,0,8
CCG,1,2,10,0,5
CCG,27,8,1,0,7
CCG,32,10,2,0,0
CCG,22,2,7,0,5
CCG,1,1,14,0,0
CCG,25,6,3,0,6
CCG,0,0,1,0,13
CCG,0,2,14,0,1
CCG,0,0,12,0,5
CCG,24,6,4,0,6
CCG,21,2,8,0,2
CCG,1,2,12,0,1
CCG,2,2,13,0,0
CCG,26,5,4,0,2
CCG,0,3,9,0,6
CCG,21,3,7,0,3
CCG,1,2,11,0,2
CCG,1,3,9,0,5
CCG,30,8,2,0,1
CCG,23,4,6,0,3
CCG,27,6,4,0,1
CCG,0,0,17,0,0
CCG,20,2,8,0,3
CCG,0,2,8,0,9
CCG,0,1,11,0,5
CCG,28,7,4,0,0
CCG,0,1,9,0,9
CCG,25,5,4,0,3
CCG,0,3,7,0,9
CCG,28,7,2,0,2
CCG,28,7,3,0,1
CCG,0,2,11,0,3
CCG,31,9,1,0,1
CCG,2,4,9,0,3
CCG,24,5,4,0,7
CCG,26,6,3,0,3
CCG,24,5,5,0,3
CCG,0,1,0,0,13
CCG,2,3,11,0,1
CCG,2,5,7,0,6
CCG,31,9,3,0,0
CCG,26,7,2,0,7
CCG,29,8,1,0,2
CCG,23,3,7,0,2
CCG,26,5,6,0,0
CCG,24,4,6,0,2
